,profit
0,0.0
1,0.001698753999999969
2,0.001698753999999969
3,0.0003340590000000532
4,0.0003344189999998637
5,0.0003344189999998637
6,0.0003344189999998637
7,0.0003344189999998637
8,0.0003344189999998637
9,0.0003344189999998637
10,0.0003344189999998637
11,-0.0006175390000000558
12,0.0008069939999997278
13,0.0004516260000000383
14,0.0004516260000000383
15,0.00042257100000009373
16,0.00042257100000009373
17,0.0006001310000001148
18,0.002905211000000074
19,0.002905211000000074
20,0.002905211000000074
21,0.002905211000000074
22,-0.00022554100000005128
23,-0.00022554100000005128
24,-0.00022554100000005128
25,-0.00022554100000005128
26,-0.00022554100000005128
27,-0.0016122410000001253
28,-0.0010825130000000627
29,-0.0010825130000000627
30,-0.0010825130000000627
31,-0.0010825130000000627
32,-0.0010825130000000627
33,-0.003460129000000034
34,-0.004245046000000086
35,-0.004245046000000086
36,-0.004245046000000086
37,-0.004911775000000063
38,-0.004911775000000063
39,-0.004911775000000063
40,-0.004911775000000063
41,-0.004911775000000063
42,-0.004911775000000063
43,-0.006623631000000074
44,-0.006623631000000074
45,-0.006623631000000074
46,-0.006623631000000074
47,-0.006623631000000074
48,-0.006107116999999995
49,-0.0032784619999999265
50,-0.0038695140000000183
51,-0.0038695140000000183
52,-0.005123811000000034
53,-0.0028622409999999876
54,-0.005011843000000127
55,-0.005011843000000127
56,-0.003417475000000114
57,-0.005605756000000128
58,-0.005605756000000128
59,-0.005605756000000128
60,-0.007857124000000049
61,-0.007857124000000049
62,-0.007857124000000049
63,-0.00823018600000025
64,-0.00809007400000017
65,-0.00809007400000017
66,-0.007972570000000068
67,-0.007596887000000052
68,-0.007596887000000052
69,-0.00737240699999997
70,-0.00737240699999997
71,-0.00737240699999997
72,-0.00737240699999997
73,-0.00737240699999997
74,-0.00737240699999997
75,-0.00737240699999997
76,-0.00737240699999997
77,-0.00737240699999997
78,-0.00737240699999997
79,-0.007550221000000024
80,-0.008898905000000012
81,-0.008898905000000012
82,-0.00876511499999999
83,-0.008770014999999964
84,-0.007979005000000039
85,-0.008780148000000043
86,-0.006492408000000061
87,-0.006492408000000061
88,-0.008959028000000036
89,-0.008959028000000036
90,-0.008959028000000036
91,-0.008959028000000036
92,-0.009381006000000136
93,-0.009381006000000136
94,-0.009381006000000136
95,-0.009381006000000136
96,-0.009381006000000136
97,-0.009381006000000136
98,-0.009371933000000165
99,-0.00878119700000013
100,-0.00878119700000013
101,-0.00878119700000013
102,-0.00878119700000013
103,-0.01004463500000019
104,-0.008359322000000224
105,-0.010484564000000196
106,-0.010484564000000196
107,-0.010484564000000196
108,-0.010484564000000196
109,-0.010484564000000196
110,-0.010484564000000196
111,-0.00986815100000027
112,-0.008824889000000335
113,-0.008824889000000335
114,-0.008824889000000335
115,-0.008824889000000335
116,-0.008824889000000335
117,-0.007932753000000292
118,-0.007524898000000224
119,-0.006543879000000308
120,-0.006583171000000387
121,-0.006583171000000387
122,-0.006583171000000387
123,-0.006583171000000387
124,-0.006583171000000387
125,-0.006583171000000387
126,-0.007658119000000463
127,-0.010420040000000297
128,-0.00931113600000033
129,-0.009086127000000332
130,-0.009086127000000332
131,-0.009086127000000332
132,-0.009086127000000332
133,-0.009086127000000332
134,-0.009086127000000332
135,-0.009086127000000332
136,-0.009086127000000332
137,0.08615520099999974
138,0.08615520099999974
139,0.08615520099999974
140,0.08615520099999974
