,profit
0,0.0
1,0.001698753999999969
2,0.0026524169999999625
3,0.0006959760000000426
4,0.0006963359999998531
5,0.001485139999999996
6,0.001485139999999996
7,0.001485139999999996
8,0.001485139999999996
9,0.001485139999999996
10,0.001485139999999996
11,0.001485139999999996
12,0.001485139999999996
13,-0.0002533850000000504
14,-0.0002533850000000504
15,-0.0002824399999999949
16,-0.0002824399999999949
17,-0.0002824399999999949
18,-0.0002824399999999949
19,-0.0002824399999999949
20,-0.0002824399999999949
21,-0.0002824399999999949
22,-0.0002824399999999949
23,-0.0029823169999998456
24,-0.0029823169999998456
25,-0.0029823169999998456
26,-0.003742498999999788
27,-0.003742498999999788
28,-0.0032127709999997256
29,-0.004843210999999736
30,-0.004150995999999796
31,-0.004150995999999796
32,-0.005040429999999652
33,-0.004476400999999575
34,-0.004476400999999575
35,-0.004476400999999575
36,-0.004476400999999575
37,-0.004476400999999575
38,-0.0052431739999996285
39,-0.0052431739999996285
40,-0.0052431739999996285
41,-0.01006410199999963
42,-0.01006410199999963
43,-0.01006410199999963
44,-0.01006410199999963
45,-0.01006410199999963
46,-0.01006410199999963
47,-0.0031366779999996153
48,-0.0031366779999996153
49,-0.002494477999999689
50,-0.002494477999999689
51,-0.0024492089999996747
52,-0.004265828999999832
53,-0.002004258999999897
54,-0.004153860999999925
55,-0.0041398480000000015
56,-0.0041398480000000015
57,-0.005578557999999956
58,-0.005578557999999956
59,-0.005578557999999956
60,-0.007829925999999876
61,-0.007829925999999876
62,-0.007829925999999876
63,-0.007829925999999876
64,-0.007829925999999876
65,-0.007829925999999876
66,-0.00769626000000001
67,-0.007320576999999995
68,-0.007844608999999947
69,-0.008417950999999868
70,-0.008753558999999966
71,-0.008753558999999966
72,-0.008753558999999966
73,-0.008753558999999966
74,-0.008753558999999966
75,-0.00801972899999992
76,-0.007643352999999964
77,-0.007643352999999964
78,-0.007643352999999964
79,-0.007458502000000089
80,-0.008807186000000078
81,-0.008807186000000078
82,-0.008673396000000055
83,-0.00867829600000014
84,-0.00867829600000014
85,-0.00867829600000014
86,-0.0060674020000001105
87,-0.0060674020000001105
88,-0.0060674020000001105
89,-0.0060674020000001105
90,-0.008764890000000025
91,-0.008764890000000025
92,-0.009578238000000017
93,-0.009616851000000093
94,-0.00829556900000017
95,-0.00829556900000017
96,-0.00829556900000017
97,-0.008902313000000106
98,-0.008902313000000106
99,-0.008663048000000062
100,-0.008663048000000062
101,-0.008663048000000062
102,-0.008663048000000062
103,-0.008663048000000062
104,-0.008663048000000062
105,-0.01161364400000009
106,-0.007859612000000071
107,-0.007859612000000071
108,-0.011164938000000069
109,-0.011164938000000069
110,-0.011164938000000069
111,-0.014157898000000002
112,-0.013119905000000154
113,-0.013119905000000154
114,-0.013119905000000154
115,-0.013119905000000154
116,-0.013119905000000154
117,-0.01223275300000004
118,-0.011826795000000057
119,-0.010850859000000046
120,-0.010889963000000225
121,-0.010889963000000225
122,-0.010889963000000225
123,-0.010889963000000225
124,-0.010889963000000225
125,-0.01239790800000018
126,-0.01239790800000018
127,-0.01239790800000018
128,-0.01239790800000018
129,-0.015464299000000237
130,-0.015464299000000237
131,-0.015464299000000237
132,-0.015464299000000237
133,-0.015464299000000237
134,0.07693429099999971
135,0.07693429099999971
136,0.07693429099999971
137,0.07696848099999976
138,0.07696848099999976
139,0.07696848099999976
140,0.07696848099999976
