Wall time,Step,Value
1597849764.3923142,42,1.0980418920516968
1597849771.239149,45,1.0960592031478882
1597849827.9179666,71,1.0947679281234741
1597849877.9312453,94,1.0939819812774658
1597850022.1159768,158,1.089679479598999
1597850043.006561,167,1.089192271232605
1597850174.6516466,229,1.0898528099060059
1597850187.1125383,234,1.0886216163635254
1597850234.5671961,255,1.0924006700515747
1597850275.596388,273,1.0852429866790771
1597850358.832823,308,1.0964874029159546
1597850363.4644156,310,1.0854580402374268
1597850382.3661544,318,1.0939514636993408
1597850627.2349017,421,1.0889945030212402
1597850720.9305146,460,1.091242790222168
1597850753.6711876,474,1.0876163244247437
1597850904.904404,536,1.0908558368682861
1597850974.8139253,563,1.0878344774246216
1597851015.1938605,579,1.090378999710083
1597851034.0961604,586,1.0879379510879517
1597851150.6884952,634,1.0888721942901611
1597851182.3742802,647,1.0902904272079468
1597851218.9157097,661,1.0836142301559448
1597851242.360214,671,1.0796369314193726
1597851347.1312094,714,1.084374189376831
1597851367.235182,722,1.0861963033676147
1597851485.261927,771,1.0862371921539307
1597851520.0264513,785,1.0881314277648926
1597851559.7317657,802,1.0895988941192627
1597851573.535271,808,1.0837281942367554
1597851638.5885801,836,1.0871350765228271
1597851894.9365313,945,1.0829477310180664
1597851952.7671065,971,1.0878463983535767
1597852032.5702925,1005,1.0864490270614624
1597852052.8332424,1014,1.086774468421936
1597852165.2650783,1063,1.0817513465881348
1597852171.863396,1066,1.0871974229812622
1597852256.7400994,1104,1.0841907262802124
1597852443.8728502,1180,1.082482933998108
1597852651.8219485,1261,1.0809870958328247
1597852788.4174452,1316,1.0818965435028076
1597852796.8626747,1319,1.0864025354385376
1597852829.9058652,1333,1.0851958990097046
1597852840.68548,1337,1.0872094631195068
1597852958.4992323,1385,1.0808008909225464
1597852976.3408582,1392,1.0797133445739746
1597853084.7990282,1436,1.0840879678726196
1597853158.4709728,1466,1.0794830322265625
1597853307.594494,1523,1.0773206949234009
1597853376.7275567,1552,1.0733697414398193
1597853413.8837588,1568,1.0835087299346924
1597853450.4924524,1584,1.0763905048370361
1597853584.868064,1640,1.0859876871109009
1597853715.3217475,1691,1.0812630653381348
1597853760.0156667,1709,1.0872440338134766
1597853781.8780818,1718,1.0856868028640747
1597853817.4730337,1732,1.0850447416305542
1597853823.159242,1734,1.085678219795227
1597853831.3395386,1737,1.0835678577423096
1597853944.0966604,1781,1.0871421098709106
1597854101.885582,1844,1.0738862752914429
1597854123.2142596,1853,1.080676794052124
1597854153.7126226,1866,1.0940337181091309
1597854161.113145,1869,1.07833731174469
1597854181.9746485,1877,1.0940321683883667
1597854282.217525,1917,1.0769336223602295
1597854320.6036756,1934,1.0832008123397827
1597854349.7277255,1947,1.0897207260131836
1597854476.545366,2001,1.0884264707565308
1597854559.8256056,2036,1.0847736597061157
1597854659.6669433,2077,1.0819040536880493
1597854705.9759047,2096,1.0835710763931274
1597854929.052901,2187,1.0839248895645142
1597854958.0235333,2199,1.0743112564086914
1597854985.9675386,2211,1.0907201766967773
1597855035.562489,2231,1.0801270008087158
1597855050.5883791,2237,1.07819664478302
1597855099.3118582,2257,1.0850921869277954
1597855110.9092045,2262,1.084067702293396
1597855223.6070223,2307,1.0768836736679077
1597855251.791477,2319,1.0767253637313843
1597855334.6606288,2354,1.0797804594039917
1597855421.431217,2389,1.0782532691955566
1597855423.7291892,2390,1.0787460803985596
1597855535.033855,2436,1.079633355140686
1597855574.6629207,2453,1.084344506263733
1597855579.227055,2455,1.0786975622177124
1597855592.403153,2460,1.0862807035446167
1597855653.696426,2485,1.0770409107208252
1597855655.849182,2486,1.0797972679138184
1597855684.3439734,2498,1.0827330350875854
1597855695.4163191,2503,1.0805758237838745
1597855760.6636398,2532,1.0829017162322998
1597855796.7185867,2547,1.0907692909240723
1597855811.159846,2553,1.0841646194458008
1597856126.5244973,2685,1.082133173942566
1597856259.3743155,2740,1.080511450767517
1597856292.0920868,2754,1.0737636089324951
1597856381.2845755,2789,1.0833628177642822
1597856621.307879,2896,1.075251579284668
1597856766.423318,2967,1.0802534818649292
1597856862.9289954,3011,1.0814189910888672
1597856921.8292181,3038,1.0709580183029175
1597856927.5925012,3041,1.0774322748184204
1597857049.6006663,3099,1.0757591724395752
1597857179.6527414,3161,1.0812753438949585
1597857250.0527985,3196,1.0748000144958496
1597857316.8367243,3230,1.078909993171692
1597857344.3347304,3244,1.0795706510543823
1597857348.2906435,3246,1.0790696144104004
1597857350.2968197,3247,1.0827258825302124
1597857466.272444,3305,1.0747169256210327
1597857671.6652336,3408,1.070829153060913
1597857757.7982435,3449,1.0767713785171509
1597857821.553968,3480,1.0832922458648682
1597858067.7732189,3600,1.0750013589859009
1597858104.0463104,3618,1.0810619592666626
1597858108.1260157,3620,1.0793321132659912
1597858208.5201073,3670,1.0687049627304077
1597858321.8332243,3726,1.0770679712295532
1597858352.5081432,3741,1.0730059146881104
1597858457.7561262,3793,1.0833064317703247
1597858501.5632792,3814,1.0715177059173584
1597858515.864512,3821,1.0769833326339722
1597858602.7890303,3864,1.0792630910873413
1597858734.516269,3928,1.0789772272109985
1597858793.3553114,3956,1.0814566612243652
1597858852.4128265,3984,1.0788335800170898
1597858962.3619945,4036,1.0701792240142822
1597859090.5486615,4098,1.072922945022583
1597859112.2675586,4109,1.083828330039978
1597859260.639631,4182,1.069279670715332
1597859290.1466935,4196,1.082669734954834
1597859303.8767152,4202,1.0778148174285889
1597859356.8408837,4227,1.0751430988311768
1597859367.1407974,4232,1.0736184120178223
1597859430.7299426,4263,1.07260000705719
1597859514.4163656,4304,1.0737760066986084
1597859540.9341438,4317,1.0730764865875244
1597859545.1549237,4319,1.073731780052185
1597859711.823122,4400,1.0735301971435547
1597859899.9085083,4492,1.0677388906478882
1597859934.7073286,4509,1.0732015371322632
1597859978.1038055,4530,1.0732420682907104
1597860179.8610795,4628,1.0704983472824097
1597860253.3770642,4664,1.0749365091323853
1597860261.4070065,4668,1.086230993270874
