Wall time,Step,Value
1598089105.8386607,43,0.05339628458023071
1598089122.2698832,46,0.060623906552791595
1598089213.114641,72,-0.00769424345344305
1598089296.671555,95,0.02913096360862255
1598089534.4178753,159,0.013084513135254383
1598089569.750362,168,0.018379125744104385
1598089807.061168,230,0.013244795612990856
1598089823.297887,235,0.03066827543079853
1598089900.1299708,256,0.011371554806828499
1598089964.8818872,274,0.024860285222530365
1598090097.2350676,309,0.027124781161546707
1598090102.7413378,311,0.030614156275987625
1598090133.9646115,319,0.005791214760392904
1598090527.4852767,422,0.020612142980098724
1598090662.730089,461,0.031169211491942406
1598090720.1400998,475,0.03556888550519943
1598090959.2126899,537,0.013841131702065468
1598091134.4956837,580,-0.0007645857403986156
1598091157.9286542,587,0.02214503474533558
1598091343.3787267,635,0.03521837666630745
1598091395.4646447,648,-0.011630549095571041
1598091486.5947251,672,0.019273849204182625
1598091656.0034792,715,0.03971061110496521
1598091688.837194,723,0.012530937790870667
1598091871.3200977,772,0.018050426617264748
1598091918.6928897,786,-0.0031728462781757116
1598091985.151411,803,0.02130400575697422
1598092004.704921,809,0.0215789545327425
1598092114.630462,837,0.02255988121032715
1598092520.5910697,946,0.001390831428579986
1598092621.4489574,972,0.014060186222195625
1598092783.1541905,1015,0.008907477371394634
1598092962.1652417,1067,0.023869870230555534
1598093099.5403159,1105,-0.004406622610986233
1598093376.8435771,1181,-0.0011949548497796059
1598093659.9771895,1262,0.0010490487329661846
1598093863.866857,1317,0.015169905498623848
1598093876.7828057,1320,0.010289918631315231
1598093925.3986588,1334,0.016861500218510628
1598093937.5970047,1338,0.01778469979763031
1598094100.166805,1386,-0.007571554742753506
1598094127.6996717,1393,-0.01172951702028513
1598094287.1738775,1437,0.032429225742816925
1598094388.4258265,1467,0.0011104318546131253
1598094592.6677787,1524,0.025599874556064606
1598094690.5446424,1553,-0.0014020922826603055
1598094750.7927275,1569,0.044515520334243774
1598094809.4988875,1585,0.015475515276193619
1598095009.0989575,1641,0.0013962843222543597
1598095189.8176808,1692,0.028825579211115837
1598095250.1166031,1710,0.01869042031466961
1598095284.2570744,1719,0.0211764145642519
1598095338.930938,1735,0.032464053481817245
1598095344.8717961,1738,0.031366702169179916
1598095501.607584,1782,0.035255737602710724
1598095724.3466845,1845,0.01725301332771778
1598095802.8048146,1867,0.00554364500567317
1598095810.906957,1870,0.007870682515203953
1598095839.343986,1878,-0.013074640184640884
1598095985.9030573,1918,-0.006054422818124294
1598096041.5585155,1935,0.024479834362864494
1598096087.0048568,1948,0.026435254141688347
1598096387.1797955,2037,0.008150715380907059
1598096593.8173757,2097,0.026674197986721992
1598096918.9579258,2188,0.02297176606953144
1598096962.581478,2200,0.0224003866314888
1598097076.9441938,2232,0.04211680218577385
1598097102.145089,2238,0.01253892108798027
1598097172.3254907,2258,0.022413307800889015
1598097194.6120741,2263,0.033257778733968735
1598097344.1329806,2308,0.030748164281249046
1598097391.3109004,2320,0.012468548491597176
1598097517.8450663,2355,0.014038452878594398
1598097642.7733483,2390,0.03240356221795082
1598097647.065094,2391,0.03809679299592972
1598097816.198707,2437,0.03270119056105614
1598097872.4644966,2454,0.00663363141939044
1598097882.0554702,2456,0.006228141486644745
1598097895.187296,2461,0.008968573994934559
1598097986.0215847,2486,0.02739066630601883
1598097993.7475555,2487,0.0060006300918757915
1598098028.7681663,2499,0.0021878064144402742
1598098050.5142634,2504,0.0289920624345541
1598098145.888507,2533,-0.010976743884384632
1598098200.8812554,2548,0.04117533937096596
1598098225.6389382,2554,0.026272187009453773
1598098708.2777512,2686,0.043943606317043304
1598098917.6502526,2741,-0.008131754584610462
1598099098.7440794,2790,0.009237952530384064
1598099473.0874949,2897,-0.0064260936342179775
1598099735.7258158,2968,0.04242865368723869
1598100000.783256,3039,0.040525030344724655
1598100007.859659,3042,0.0222936924546957
1598100226.1742737,3100,0.026452837511897087
1598100454.4651177,3162,0.030907094478607178
1598100705.4363341,3231,-0.013263808563351631
