Wall time,Step,Value
1598089105.8386607,43,1.002234935760498
1598089122.2698832,46,1.0033507347106934
1598089213.114641,72,0.9991726875305176
1598089296.671555,95,0.9975647926330566
1598089534.4178753,159,0.9985767602920532
1598089569.750362,168,0.9978765249252319
1598089807.061168,230,0.9987269043922424
1598089823.297887,235,0.997016966342926
1598089900.1299708,256,1.0000858306884766
1598089964.8818872,274,0.9992759227752686
1598090097.2350676,309,0.9996004700660706
1598090102.7413378,311,0.9984849691390991
1598090133.9646115,319,0.999638020992279
1598090527.4852767,422,0.9995505213737488
1598090662.730089,461,0.9991592764854431
1598090720.1400998,475,1.0005152225494385
1598090959.2126899,537,0.9992581605911255
1598091134.4956837,580,0.9992545247077942
1598091157.9286542,587,0.9995719194412231
1598091343.3787267,635,0.9996306300163269
1598091395.4646447,648,0.999255895614624
1598091486.5947251,672,0.9993401765823364
1598091656.0034792,715,0.9993391633033752
1598091688.837194,723,0.9988565444946289
1598091871.3200977,772,0.9990724325180054
1598091918.6928897,786,0.9994006752967834
1598091985.151411,803,0.9978872537612915
1598092004.704921,809,0.9992856979370117
1598092114.630462,837,0.9990977048873901
1598092520.5910697,946,0.9992464780807495
1598092621.4489574,972,0.9989160299301147
1598092783.1541905,1015,0.9988000988960266
1598092962.1652417,1067,0.9988826513290405
1598093099.5403159,1105,0.999096155166626
1598093376.8435771,1181,0.9990912079811096
1598093659.9771895,1262,0.9992398023605347
1598093863.866857,1317,0.9989267587661743
1598093876.7828057,1320,0.9989393949508667
1598093925.3986588,1334,0.9991963505744934
1598093937.5970047,1338,0.9989759922027588
1598094100.166805,1386,0.99947190284729
1598094127.6996717,1393,0.9991455078125
1598094287.1738775,1437,0.9990255236625671
1598094388.4258265,1467,0.9992683529853821
1598094592.6677787,1524,0.9989982843399048
1598094690.5446424,1553,0.9994949698448181
1598094750.7927275,1569,0.9992784261703491
1598094809.4988875,1585,0.9990372657775879
1598095009.0989575,1641,0.9992451667785645
1598095189.8176808,1692,0.9995405673980713
1598095250.1166031,1710,0.9991999864578247
1598095284.2570744,1719,0.9991346597671509
1598095338.930938,1735,0.9996049404144287
1598095344.8717961,1738,0.9995736479759216
1598095501.607584,1782,0.9991829991340637
1598095724.3466845,1845,0.9989984631538391
1598095802.8048146,1867,0.9989984035491943
1598095810.906957,1870,0.9991946220397949
1598095839.343986,1878,0.9997043609619141
1598095985.9030573,1918,0.9995757341384888
1598096041.5585155,1935,0.9994457960128784
1598096087.0048568,1948,0.9991269111633301
1598096387.1797955,2037,0.9995424151420593
1598096593.8173757,2097,0.9994425177574158
1598096918.9579258,2188,0.9996349215507507
1598096962.581478,2200,0.999214768409729
1598097076.9441938,2232,0.9994019865989685
1598097102.1460867,2238,0.998999834060669
1598097172.3254907,2258,0.9990013837814331
1598097194.6120741,2263,0.9993546605110168
1598097344.1329806,2308,0.9995248913764954
1598097391.3109004,2320,0.9990354776382446
1598097517.8450663,2355,0.9993324875831604
1598097642.7733483,2390,0.999423086643219
1598097647.065094,2391,0.9993873238563538
1598097816.198707,2437,0.999320387840271
1598097872.4644966,2454,0.999437153339386
1598097882.0554702,2456,0.9993990063667297
1598097895.187296,2461,0.9992913603782654
1598097986.0215847,2486,0.999011218547821
1598097993.7475555,2487,0.9990828633308411
1598098028.7681663,2499,0.9993294477462769
1598098050.5142634,2504,0.9989980459213257
1598098145.8895044,2533,0.9992454648017883
1598098200.8812554,2548,0.999031662940979
1598098225.6389382,2554,0.9994653463363647
1598098708.2777512,2686,0.9991753101348877
1598098917.6502526,2741,0.9995951652526855
1598099098.7440794,2790,0.9991239905357361
1598099473.0874949,2897,0.9992325901985168
1598099735.7258158,2968,0.9997566342353821
1598100000.783256,3039,0.9991341233253479
1598100007.859659,3042,0.9992467164993286
1598100226.1742737,3100,0.9990330338478088
1598100454.4651177,3162,0.9990382194519043
1598100705.4363341,3231,0.9993098974227905
1598100755.163168,3245,0.9989991784095764
1598100761.1661966,3247,0.9990836381912231
1598100768.9414587,3248,0.999153196811676
1598100992.0697594,3306,0.9990484714508057
1598101634.0539753,3481,0.9994252324104309
1598102068.6768045,3601,0.9994919896125793
1598102134.3276217,3619,0.9994853138923645
1598102137.7444303,3621,0.9992910623550415
1598102330.5440607,3671,0.9992955923080444
1598102602.0297196,3742,1.0000154972076416
1598102802.6768765,3794,0.9997566938400269
1598102877.5301683,3815,0.9994579553604126
1598102902.7704067,3822,1.0001709461212158
1598103299.1862988,3929,0.9996137022972107
1598103405.2487853,3957,0.999015212059021
1598103510.800484,3985,0.9991888999938965
1598103696.743943,4037,0.999204158782959
1598103939.0777662,4099,0.9990044236183167
1598104322.823886,4197,0.999165415763855
1598104443.4290304,4228,0.999078631401062
1598104459.6199071,4233,0.9992387890815735
1598104719.2401984,4305,0.9990039467811584
1598104767.1378167,4318,0.9992321729660034
1598104773.5389519,4320,0.9991549253463745
1598105058.9289846,4401,0.9991874098777771
1598105416.731193,4493,0.9991995692253113
1598105485.8919995,4510,0.9992250800132751
1598105561.1987042,4531,0.9990143179893494
1598105933.6750607,4629,0.9990358948707581
1598106073.6681821,4665,1.0000200271606445
1598106090.373845,4669,0.9990102052688599
1598106120.7831597,4677,0.9998968839645386
1598106543.0432026,4789,0.9994705319404602
1598106596.9684858,4803,1.0000512599945068
1598106733.7791345,4841,0.9993610382080078
1598106778.7320244,4853,0.9992210865020752
1598106936.0391788,4895,0.9991841912269592
1598107199.3879411,4963,0.9990995526313782
1598107226.309024,4972,0.9995688199996948
1598107244.158223,4975,0.9992680549621582
1598107531.236075,5051,0.9993994235992432
1598107534.3429043,5053,0.9992833137512207
1598107736.1362002,5107,0.9990442991256714
1598107842.617124,5135,0.9992246627807617
1598108248.4286547,5240,0.999373197555542
1598108599.699281,5330,0.9991175532341003
1598108664.7077177,5346,0.9994698166847229
1598108716.3070312,5360,0.9994073510169983
1598108965.1288211,5421,0.9994100332260132
1598109335.0278513,5518,0.9990907311439514
1598109460.0514793,5550,0.9997497200965881
1598109915.276296,5665,0.9995958805084229
1598109973.58114,5680,0.9990922212600708
1598110137.4535253,5724,0.9991891980171204
1598110454.1612515,5809,1.000133991241455
1598110516.4410877,5826,1.0004042387008667
1598110525.8077655,5829,1.0002211332321167
1598110656.1549199,5865,0.9998839497566223
1598110683.0258558,5872,0.9995181560516357
1598110809.940171,5908,0.999803364276886
1598110884.7090755,5929,0.9996559619903564
1598111096.7422915,5991,0.9994264841079712
1598111170.04093,6011,0.999316394329071
1598111569.1595092,6122,0.9992722272872925
1598111605.8319714,6132,0.9989977478981018
1598111851.1402752,6201,0.9991790056228638
1598111904.3639972,6214,0.9990025162696838
1598111924.873467,6220,0.9990984201431274
1598111970.1071994,6233,0.9990861415863037
1598112168.82687,6290,0.9991639256477356
1598112255.40772,6313,0.9991233348846436
1598112270.9929726,6318,0.9990015029907227
1598112485.3829434,6377,0.9989975094795227
1598112992.4827752,6521,0.9990742802619934
1598113189.4968119,6575,0.999077320098877
1598113293.6128888,6604,0.9995744824409485
1598113494.3743987,6658,0.9990189671516418
1598113632.6946793,6697,0.9990169405937195
1598113641.84085,6700,0.9993773698806763
1598113682.071067,6712,0.9993895292282104
1598113789.1853485,6743,0.9991054534912109
1598114175.5087042,6847,0.9997121691703796
1598114211.0104446,6855,0.9990658760070801
1598114263.9966054,6870,1.0002617835998535
1598114625.1458693,6967,0.9991583824157715
1598114724.839927,6993,0.9996673464775085
1598114806.7974353,7015,0.9996926784515381
1598115148.2404728,7107,0.9990347623825073
1598115182.8638477,7115,0.999252200126648
1598115341.5473533,7156,0.9991286993026733
1598115683.227662,7248,0.9992150068283081
1598115938.7369664,7312,0.9990161061286926
1598116046.865887,7340,0.9991664290428162
1598116050.3248143,7341,0.999207615852356
1598116126.304935,7360,0.9991653561592102
1598116217.2375014,7383,0.9992969632148743
1598116286.7161674,7402,0.9992624521255493
1598116470.010386,7451,0.9990003108978271
1598116508.1938992,7461,0.9993014335632324
1598116522.3039436,7464,0.9992716908454895
1598116580.998829,7479,0.999255895614624
1598116713.4773273,7512,0.9990015625953674
1598117399.1690571,7688,0.9995297789573669
1598117425.6654134,7694,0.9990772008895874
1598117664.1630924,7761,0.999627947807312
1598117774.2906501,7789,0.9996456503868103
1598117810.5129669,7799,0.9994110465049744
1598117936.3896823,7834,0.999128520488739
1598118188.481441,7901,0.9992269277572632
1598118308.565349,7933,0.9994775056838989
1598118528.9796362,7992,0.999760091304779
1598118658.5737705,8027,0.9991008639335632
1598118806.899615,8067,0.9991726279258728
1598119222.1092248,8181,0.9993993043899536
1598119338.8652437,8216,0.9991248846054077
1598119363.7719038,8222,0.9993183612823486
1598119594.9275026,8291,0.9991158843040466
1598119745.3562534,8335,0.9989984631538391
1598119837.103883,8364,0.9992038607597351
1598119858.0456984,8369,0.9992249011993408
1598119886.5591,8378,0.9990394711494446
1598120202.5681813,8468,0.999369204044342
1598120208.6541555,8471,0.9993912577629089
1598120306.268088,8499,0.999039888381958
1598120339.132519,8509,0.9995157122612
1598120529.5869684,8567,0.9995285272598267
1598120647.0799732,8602,0.9989988207817078
1598120761.5584362,8636,0.999123752117157
1598120963.0482252,8696,0.9997096657752991
1598121372.1309958,8820,0.9993093013763428
1598121381.1542282,8823,0.999000608921051
1598121563.9290187,8879,0.9997040629386902
1598121654.0744908,8905,0.9997819066047668
1598121662.4693782,8908,1.0017285346984863
1598121734.518497,8929,1.0001882314682007
1598121753.8315942,8936,0.9992629289627075
1598121949.6325233,8994,1.0002257823944092
1598121975.6030898,9000,0.9989977478981018
1598122160.5561619,9056,0.9997192621231079
1598122733.5148492,9227,0.999167263507843
1598122752.181668,9234,0.9990103840827942
1598122843.0930543,9261,0.9991507530212402
1598123029.5282292,9317,0.9989985227584839
1598123134.2492256,9349,0.9991342425346375
1598123350.2453623,9413,0.9990944862365723
1598123361.411424,9416,0.9990725517272949
1598123428.9896955,9436,0.9990566968917847
1598123536.3836055,9469,0.9991528987884521
1598123794.4167452,9548,0.9990690350532532
1598123821.588606,9555,0.9991098046302795
1598123867.068701,9568,0.9991773962974548
1598124071.8409016,9628,0.9992194175720215
1598124166.7771308,9658,0.9991427063941956
1598124242.7946575,9681,0.9990918636322021
1598124307.9428835,9699,0.9991069436073303
1598124543.75223,9769,0.9998133182525635
1598124790.4673686,9844,0.9990048408508301
1598125002.8385475,9908,0.9996079802513123
1598125225.0532088,9973,1.0004843473434448
1598125521.9944735,10059,0.9999622702598572
1598125604.4626555,10085,0.9994426369667053
1598125878.6359005,10169,0.9994487166404724
1598126244.8240013,10277,0.9998128414154053
1598126263.5331671,10284,0.9997193813323975
1598126648.8583503,10397,0.9989978671073914
1598126655.0939064,10400,0.9990103244781494
1598126728.1303833,10421,0.9990342855453491
1598126935.5350792,10480,0.99899822473526
1598126962.1100276,10490,0.9991680383682251
1598127073.3173678,10523,0.9989991188049316
1598127361.7772732,10608,0.9989981055259705
1598127415.863161,10625,0.9990456700325012
1598127466.2593086,10639,0.9991254806518555
1598127519.437094,10655,0.9990602135658264
1598127569.5604334,10672,0.9989979863166809
1598127712.8840914,10712,0.9990010857582092
1598127861.789553,10758,0.9991193413734436
1598127868.239558,10759,0.9991335868835449
1598127942.54416,10781,0.9990766048431396
1598128071.7145057,10816,0.9991477131843567
1598128157.7666094,10842,0.9991437196731567
1598128188.6341825,10851,0.9990723133087158
1598128357.5544615,10903,0.9991843700408936
1598128364.1864674,10906,0.9991532564163208
1598128480.5052748,10940,0.9993268251419067
1598128493.067633,10944,0.9992271661758423
1598128567.2386136,10967,0.9990050196647644
1598128585.7343347,10973,0.9991852045059204
1598128592.2501605,10975,0.9994713068008423
1598128735.2326286,11015,0.9997251629829407
1598128753.5333858,11021,0.999220073223114
1598128798.754663,11034,0.9996498823165894
1598128814.222373,11039,0.9993299245834351
1598129031.8715005,11103,0.9989999532699585
1598129094.4225576,11122,0.9989989995956421
1598129123.9412146,11131,1.000428557395935
1598129346.9363523,11199,0.9989982843399048
1598129355.3466816,11201,0.9992495775222778
1598129357.5742998,11202,0.9994338154792786
1598129555.7325704,11261,0.9990322589874268
1598130087.804584,11420,0.9992108345031738
1598130260.8707457,11473,0.99920654296875
1598130329.0754387,11493,0.9992673993110657
1598130434.3044882,11524,0.9993000030517578
1598130465.121781,11533,0.9990270137786865
1598130534.0914273,11550,0.9990688562393188
1598130589.9067643,11567,0.9993199706077576
1598130690.376344,11598,0.9990771412849426
1598130867.2997935,11649,0.9992907047271729
1598130948.941572,11672,0.9991196393966675
1598130992.6647706,11686,0.999289870262146
1598131245.379438,11760,0.9989989399909973
1598131612.5997148,11874,0.9993218183517456
1598131935.3843803,11970,0.999600350856781
1598131953.1924107,11975,0.9993404746055603
1598132080.5595424,12011,0.999826192855835
1598132176.3818605,12042,0.9989989995956421
1598132496.17353,12139,0.9995303153991699
1598132589.112854,12165,0.9990546703338623
1598132607.8573778,12169,0.9998723864555359
1598132656.1375334,12185,0.9991996884346008
1598132796.9017808,12227,0.9996300935745239
1598132999.5808053,12291,0.999146044254303
1598133013.056765,12294,0.999674916267395
1598133063.719719,12310,0.9993679523468018
1598133394.6988297,12406,0.9991077184677124
1598133568.8386383,12459,0.9996278285980225
1598133884.0585184,12554,0.9990120530128479
1598134280.930524,12672,0.999228835105896
1598134375.235406,12700,0.9992190003395081
1598134571.2265677,12759,0.9991135001182556
1598134731.5468614,12806,0.9994058012962341
1598134964.7474818,12878,0.9991652965545654
1598135032.3328786,12897,0.9992032647132874
1598135180.2013984,12940,0.9991901516914368
1598135443.8247643,13018,0.9994790554046631
1598135505.8826666,13035,0.9996852278709412
1598135595.1328292,13062,0.9992915391921997
1598135663.5294807,13083,0.9991359114646912
1598135708.3248825,13095,0.999674379825592
1598135757.0788193,13110,0.9991926550865173
1598135768.5206518,13114,0.9995163679122925
1598135829.8404388,13131,0.9991417527198792
1598135954.3795135,13167,0.9989983439445496
1598136094.1375027,13207,0.9990091323852539
1598136205.282507,13240,0.9996394515037537
1598136565.1665409,13350,0.9990113973617554
1598136741.670653,13403,0.9998061060905457
1598136753.7627456,13407,0.999597430229187
1598136823.7806616,13427,0.9997009634971619
1598136987.306875,13476,0.9996091723442078
1598137080.0497954,13505,0.9995303153991699
1598137219.9005015,13547,0.9992584586143494
1598137396.988585,13598,0.9993910789489746
1598137476.1423738,13621,0.9995843768119812
1598137673.5938034,13680,0.9992067217826843
1598137683.4877207,13683,0.9990180134773254
1598137909.7357585,13748,0.9990156888961792
1598138003.9343793,13777,0.9996774196624756
1598138120.6685536,13811,0.9991115927696228
1598138237.728371,13846,0.9994217753410339
1598138318.4964032,13869,0.9992512464523315
1598138367.7116623,13885,0.9992481470108032
1598138619.1058164,13958,0.9990183711051941
1598138682.3046806,13977,0.9990599751472473
1598138750.6818643,13999,0.9990361332893372
1598139026.588876,14081,0.9990358948707581
1598139488.988669,14222,0.9990730881690979
1598139721.081783,14288,0.9990054965019226
1598139746.419462,14295,0.9990547299385071
1598139775.4669175,14304,0.9990165829658508
1598139833.8225188,14321,0.9990803003311157
1598139873.2226236,14333,0.9990200400352478
1598139891.887886,14339,0.9990936517715454
1598140086.584543,14398,0.9991525411605835
1598140263.4347289,14448,0.9989996552467346
1598140417.5597992,14495,0.99943608045578
1598140540.8546703,14531,0.9995310306549072
1598140617.9568248,14555,0.9997028708457947
1598140632.715398,14558,0.9995548725128174
1598140887.9398437,14633,1.0001872777938843
1598140904.1525908,14639,0.9994165897369385
1598141003.1474926,14669,1.0007025003433228
1598141032.0367901,14678,1.0003209114074707
1598141044.7986138,14682,0.9992532134056091
1598141062.271542,14688,0.9998365044593811
1598141381.5115924,14780,0.9993312954902649
1598141388.6717112,14781,0.9990649223327637
1598141417.0728261,14789,1.0001633167266846
1598141431.6528733,14793,1.0002790689468384
1598141488.7747958,14810,0.9995933175086975
1598141703.3225584,14874,0.9996876120567322
1598141763.4305582,14893,0.9992734789848328
1598141881.8926804,14927,0.999148964881897
1598142239.8208516,15028,0.9991898536682129
1598142451.7724571,15091,0.9991956949234009
1598142612.7275226,15137,0.99900221824646
1598142764.9087226,15181,0.9990042448043823
1598142826.0834277,15200,0.999001681804657
1598143047.9917684,15267,0.999194324016571
1598143241.421686,15325,0.9990134835243225
1598143320.9446228,15348,0.9990237951278687
1598143745.4466512,15474,0.9989990592002869
1598143749.6894658,15476,0.9990594387054443
1598143859.3986828,15508,0.9995779395103455
1598143967.8188338,15539,0.9994034767150879
1598144162.9254067,15598,1.0002975463867188
1598144650.196511,15741,0.9994415640830994
1598144731.825003,15765,0.9989907741546631
1598144758.2772183,15774,1.0012176036834717
1598144933.794343,15826,1.0005264282226562
1598144943.599194,15829,0.9990211725234985
1598145477.886737,15980,0.999052107334137
1598145528.4668863,15994,0.9992768168449402
1598145889.8276374,16096,0.9991118907928467
1598145963.6369717,16117,0.999098002910614
1598146431.5604472,16250,0.9990164041519165
1598146677.8151574,16322,0.9990183115005493
1598146757.2557743,16344,0.9990546703338623
1598146816.3317738,16361,0.9990612864494324
1598146976.4506202,16407,0.9990764260292053
1598147097.1030815,16441,0.9990472197532654
1598147311.3399632,16506,0.9991618990898132
1598147484.872632,16560,0.999161422252655
1598147573.748146,16586,0.9993493556976318
1598147591.8989186,16591,0.9990629553794861
1598147818.5005562,16662,0.9998350143432617
