,prices,profit,signal
0,3439.862,0.0,1.0
1,3447.764,0.001698753999999969,1.0
2,3450.756,0.001698753999999969,1.0
3,3444.7709999999997,0.0003340590000000532,-1.0
4,3442.619,0.0003344189999998637,1.0
5,3446.7690000000002,0.0003344189999998637,1.0
6,3448.685,0.0003344189999998637,1.0
7,3452.9190000000003,0.0003344189999998637,1.0
8,3450.76,0.0003344189999998637,1.0
9,3448.845,0.0003344189999998637,1.0
10,3448.847,0.0003344189999998637,1.0
11,3446.09,-0.0006175390000000558,-1.0
12,3439.712,0.0008069939999997278,1.0
13,3440.7090000000003,0.0004516260000000383,-1.0
14,3439.9440000000004,0.0004516260000000383,-1.0
15,3438.868,0.00042257100000009373,1.0
16,3442.8579999999997,0.00042257100000009373,1.0
17,3443.861,0.0006001310000001148,-1.0
18,3441.788,0.002905211000000074,1.0
19,3433.7290000000003,0.002905211000000074,1.0
20,3427.671,0.002905211000000074,1.0
21,3425.8059999999996,0.002905211000000074,1.0
22,3423.8109999999997,-0.00022554100000005128,-1.0
23,3426.9559999999997,-0.00022554100000005128,-1.0
24,3426.8790000000004,-0.00022554100000005128,-1.0
25,3430.87,-0.00022554100000005128,-1.0
26,3436.955,-0.00022554100000005128,-1.0
27,3433.0429999999997,-0.0016122410000001253,1.0
28,3432.886,-0.0010825130000000627,-1.0
29,3437.802,-0.0010825130000000627,-1.0
30,3443.9440000000004,-0.0010825130000000627,-1.0
31,3443.947,-0.0010825130000000627,-1.0
32,3442.8709999999996,-0.0010825130000000627,-1.0
33,3450.8579999999997,-0.003460129000000034,1.0
34,3448.022,-0.004245046000000086,-1.0
35,3448.705,-0.004245046000000086,-1.0
36,3450.7009999999996,-0.004245046000000086,-1.0
37,3453.764,-0.004911775000000063,1.0
38,3453.921,-0.004911775000000063,1.0
39,3456.915,-0.004911775000000063,1.0
40,3462.8990000000003,-0.004911775000000063,1.0
41,3469.573,-0.004911775000000063,1.0
42,3432.289,-0.004911775000000063,1.0
43,3447.938,-0.006623631000000074,-1.0
44,3446.94,-0.006623631000000074,-1.0
45,3444.1820000000002,-0.006623631000000074,-1.0
46,3443.184,-0.006623631000000074,-1.0
47,3445.179,-0.006623631000000074,-1.0
48,3434.725,-0.006107116999999995,1.0
49,3447.381,-0.0032784619999999265,-1.0
50,3450.39,-0.0038695140000000183,1.0
51,3452.3070000000002,-0.004512681999999879,1.0
52,3449.158,-0.006329302000000037,-1.0
53,3446.087,-0.00407963499999997,1.0
54,3439.255,-0.00622923700000011,-1.0
55,3438.1809999999996,-0.00622923700000011,-1.0
56,3441.1740000000004,-0.004634869000000097,1.0
57,3432.039,-0.006823150000000111,-1.0
58,3432.803,-0.006619030000000192,-1.0
59,3432.9590000000003,-0.006619030000000192,-1.0
60,3440.0440000000003,-0.008670262000000095,1.0
61,3445.9509999999996,-0.008670262000000095,1.0
62,3440.962,-0.008670262000000095,1.0
63,3438.889,-0.009043324000000297,-1.0
64,3440.1209999999996,-0.008903212000000216,1.0
65,3440.055,-0.008903212000000216,1.0
66,3440.8959999999997,-0.008785708000000114,-1.0
67,3442.7329999999997,-0.008410025000000099,1.0
68,3440.887,-0.008410025000000099,1.0
69,3441.885,-0.008186765000000151,-1.0
70,3445.953,-0.008186765000000151,-1.0
71,3442.0409999999997,-0.008186765000000151,-1.0
72,3439.042,-0.008186765000000151,-1.0
73,3438.8790000000004,-0.008186765000000151,-1.0
74,3441.8720000000003,-0.008186765000000151,-1.0
75,3442.789,-0.008186765000000151,-1.0
76,3443.9429999999998,-0.008186765000000151,-1.0
77,3446.857,-0.008186765000000151,-1.0
78,3444.099,-0.008186765000000151,-1.0
79,3449.009,-0.008364579000000094,1.0
80,3444.862,-0.009706275000000097,-1.0
81,3444.0209999999997,-0.009706275000000097,-1.0
82,3443.0240000000003,-0.009573272000000133,1.0
83,3446.075,-0.009578172000000107,-1.0
84,3444.9990000000003,-0.008787162000000182,1.0
85,3443.845,-0.009588305000000186,-1.0
86,3442.848,-0.007312297000000134,1.0
87,3434.113,-0.007312297000000134,1.0
88,3432.028,-0.009778917000000109,-1.0
89,3433.2129999999997,-0.009778917000000109,-1.0
90,3430.13,-0.009778917000000109,-1.0
91,3432.1240000000003,-0.009778917000000109,-1.0
92,3432.1240000000003,-0.01020089500000021,1.0
93,3436.117,-0.01020089500000021,1.0
94,3433.941,-0.01020089500000021,1.0
95,3431.855,-0.01020089500000021,1.0
96,3432.0370000000003,-0.01020089500000021,1.0
97,3431.13,-0.01020089500000021,1.0
98,3433.079,-0.010191822000000239,-1.0
99,3434.167,-0.009604262000000197,1.0
100,3431.903,-0.009604262000000197,1.0
101,3434.982,-0.009604262000000197,1.0
102,3435.073,-0.009604262000000197,1.0
103,3431.991,-0.010867700000000258,-1.0
104,3429.7859999999996,-0.009182387000000292,1.0
105,3425.074,-0.011307629000000263,-1.0
106,3421.265,-0.011307629000000263,-1.0
107,3408.018,-0.00733433600000033,-1.0
108,3406.905,-0.00733433600000033,-1.0
109,3406.902,-0.00733433600000033,-1.0
110,3416.865,-0.00733433600000033,-1.0
111,3417.862,-0.010370422000000379,1.0
112,3423.945,-0.009327160000000334,-1.0
113,3425.131,-0.009327160000000334,-1.0
114,3418.06,-0.008223804000000334,-1.0
115,3419.781,-0.008223804000000334,-1.0
116,3418.784,-0.008223804000000334,-1.0
117,3417.7870000000003,-0.008392291000000274,1.0
118,3420.961,-0.007984436000000317,-1.0
119,3421.684,-0.0070034170000004,1.0
120,3417.8779999999997,-0.00704270900000048,-1.0
121,3423.4959999999996,-0.00704270900000048,-1.0
122,3426.487,-0.00704270900000048,-1.0
123,3424.68,-0.00704270900000048,-1.0
124,3424.677,-0.00704270900000048,-1.0
125,3432.39,-0.00704270900000048,-1.0
126,3427.7729999999997,-0.008117657000000444,1.0
127,3425.506,-0.010879578000000278,-1.0
128,3415.8940000000002,-0.009770674000000312,1.0
129,3421.79,-0.009545665000000536,-1.0
130,3418.9809999999998,-0.009545665000000536,-1.0
131,3420.884,-0.009545665000000536,-1.0
132,2963.745,-0.009545665000000536,-1.0
133,2974.8940000000002,-0.009545665000000536,-1.0
134,2963.7690000000002,-0.009545665000000536,-1.0
135,2977.42,0.08403915099999959,-1.0
136,2973.863,0.08403915099999959,-1.0
