,price
712,2655.645
713,2654.328
714,2664.965
715,2650.6690000000003
716,2653.645
717,2742.242
718,2744.8559999999998
719,2741.7990000000004
720,2739.268
721,2730.949
722,2740.014
723,2739.3140000000003
724,2753.185
725,2759.018
726,2747.5890000000004
727,2743.866
728,2744.132
729,2742.967
730,2744.087
731,2750.414
732,2757.4320000000002
733,2752.6690000000003
734,2761.0759999999996
735,2758.715
736,2760.614
737,2760.89
738,2756.901
739,2756.995
740,2759.889
741,2748.8740000000003
742,2780.777
743,2758.9040000000005
744,2775.8459999999995
745,2799.7709999999997
746,2792.81
747,2791.0890000000004
748,2796.554
749,2799.6409999999996
750,2795.042
751,2794.348
752,2791.361
753,2781.469
754,2786.123
755,2794.127
756,2792.778
757,2797.0429999999997
758,2804.2659999999996
759,2804.276
760,2804.276
761,2804.2709999999997
762,2753.699
763,2759.0190000000002
764,2754.485
765,2760.402
766,2761.4829999999997
767,2763.2340000000004
768,2759.473
769,2762.455
770,2758.027
771,2767.778
772,2768.114
773,2760.401
774,2755.903
775,2742.038
776,2738.3070000000002
777,2745.6459999999997
778,2748.643
779,2745.173
780,2750.3740000000003
781,2756.152
782,2751.632
783,2765.97
784,2768.4790000000003
785,2763.119
786,2767.143
787,2767.545
788,2769.972
789,2751.018
790,2757.825
791,2768.006
792,2794.7870000000003
793,2795.381
794,2801.3320000000003
795,2807.583
796,2807.695
797,2819.133
798,2807.5809999999997
799,2807.545
800,2809.115
801,2807.489
802,2801.9
803,2803.2909999999997
804,2804.51
805,2798.575
806,2798.579
807,2825.342
808,2827.848
809,2831.8459999999995
810,2827.325
811,2826.353
812,2827.3909999999996
813,2824.902
814,2810.44
815,2813.908
816,2820.4159999999997
817,2824.901
818,2825.905
819,2822.401
820,2815.907
821,2821.864
822,2836.3779999999997
823,2830.8959999999997
824,2834.427
825,2836.913
826,2833.923
827,2826.9570000000003
828,2826.9570000000003
829,2830.909
830,2828.9159999999997
831,2825.44
832,2816.965
833,2822.5029999999997
834,2842.975
835,2846.98
836,2853.98
837,2849.492
838,2844.515
839,2840.494
840,2838.513
841,2835.0209999999997
842,2834.5370000000003
843,2832.031
844,2833.4770000000003
845,2835.511
846,2839.488
847,2837.49
848,2838.9990000000003
849,2838.002
850,2826.048
851,2814.534
852,2747.7729999999997
853,2753.304
854,2753.2990000000004
855,2748.8179999999998
856,2753.81
857,2757.298
858,2755.309
859,2753.315
860,2754.801
861,2749.8
862,2754.3059999999996
863,2756.296
864,2753.781
865,2755.277
866,2753.308
867,2758.781
868,2755.3059999999996
869,2763.289
870,2772.784
871,2767.302
872,2767.795
873,2773.765
874,2774.262
875,2771.8140000000003
876,2762.342
877,2762.8109999999997
878,2763.808
879,2763.3340000000003
880,2773.31
881,2770.3190000000004
882,2772.8190000000004
883,2764.8559999999998
884,2767.3520000000003
885,2755.3779999999997
886,2753.363
887,2753.8709999999996
888,2740.866
889,2749.3390000000004
890,2748.8340000000003
891,2741.3379999999997
892,2731.368
893,2738.3540000000003
894,2734.369
895,2737.365
896,2735.408
897,2749.636
898,2742.0040000000004
899,2743.6209999999996
900,2747.08
901,2749.542
902,2730.261
903,2745.281
904,2756.363
905,2752.078
906,2745.63
907,2744.5759999999996
908,2739.134
909,2745.1
910,2753.737
911,2766.8340000000003
912,2754.349
913,2755.317
914,2756.702
915,2755.297
916,2755.781
917,2761.8259999999996
918,2761.897
919,2763.895
920,2745.845
921,2752.3459999999995
922,2748.5009999999997
923,2745.5
924,2755.087
925,2758.554
926,2754.446
927,2749.9770000000003
928,2747.901
929,2745.9559999999997
930,2747.4829999999997
931,2744.511
932,2749.546
933,2749.505
934,2746.923
935,2749.974
936,2738.2309999999998
937,2739.219
938,2741.152
939,2739.173
940,2743.337
941,2735.663
942,2704.7509999999997
943,2695.4629999999997
944,2702.7990000000004
945,2705.191
946,2685.8459999999995
947,2666.5879999999997
948,2644.403
949,2648.22
950,2650.262
951,2652.388
952,2645.699
953,2647.651
954,2644.1929999999998
955,2632.2870000000003
956,2634.897
957,2642.9759999999997
958,2635.005
959,2625.038
960,2611.176
961,2609.7470000000003
962,2616.724
963,2611.74
964,2615.486
965,2615.302
966,2623.03
967,2622.033
968,2620.644
969,2620.422
970,2621.908
971,2615.462
972,2623.289
973,2624.82
974,2627.4440000000004
975,2629.53
976,2626.173
977,2623.909
978,2622.813
979,2621.5409999999997
980,2623.1690000000003
981,2625.797
982,2625.8109999999997
983,2619.444
984,2602.786
985,2601.29
986,2601.256
987,2597.256
988,2610.975
989,2622.063
990,2628.7709999999997
991,2641.8920000000003
992,2645.415
993,2640.594
994,2634.639
995,2641.615
996,2633.9429999999998
997,2634.538
998,2627.809
999,2614.7129999999997
